date,body,amount,status,claims-used,notes
2026-08-29,DIGITAL-2026-AI-DATA-10-COMPLIANCE,EUR 2e6-5e6,draft-not-submitted,50% lump sum not 75%; open-source must; 3 beneficiaries 3 countries,UK DEP association GAP; pack docs/grants/DIGITAL-2026-AI-DATA-10/; do not send until coordinator confirms
2026-08-29,NVIDIA Inception,,draft-owner-clicks,docs/grants/VENDOR-CREDITS/NVIDIA-INCEPTION.md,Nick clicks; TUI 4 does not send; product not consulting
2026-08-29,Anthropic Claude for Startups,,draft-owner-clicks,docs/grants/VENDOR-CREDITS/ANTHROPIC-STARTUPS.md,No invented VC; Console + csoai.org mail
2026-08-29,Google for Startups Cloud,,draft-owner-clicks-Start-tier,docs/grants/VENDOR-CREDITS/GOOGLE-CLOUD-START.md,Start ~$2k honest; Scale $200k needs equity GAP
2026-08-29,Groq Gemini xAI Modal keys,,not-submitted,,Keys in owner vault not git
2026-08-29,UKRI TAS Hub,,logged-skip-pending-owner,PDCA + verify fit,Do not mix OpenShell invention
2026-08-29,Innovate UK BridgeAI,,logged-skip-pending-owner,compliance automation,Owner
2026-08-29,British Business Bank Start Up Loans,GBP 500-25000,owner-decision,6% no equity,Securities not a product
2026-08-29,Filecoin Foundation,,skip,IPFS for certificate PDFs not confirmed,
2026-08-29,Polygon Village,,skip-until-confirm,verify on Polygon PoS not confirmed this pass,
2026-08-29,UK Games Fund,,skip,MEOK gaming not mixed into GSPC note,
2026-08-29,OASIS CoSAI,,not-joined,different letters from CSOAI,Do not impersonate
2026-08-29,OpenSSF SAF-MCP,,not-rebranded,,Consume catalog; not ours
2026-08-29,C2PA CAI membership,,owner-decides,TUI 3 pins SDK,
2026-08-29,SCITT WG / IETF 127,,no-agenda-grab,Iman independent cell only,No session time from CSOAI
2026-09-05,Sovereign Tech Fund,EUR 84000 proposed (min 50000),READY-owner-creates-account,docs/grants/2026-09-05/sovereign-tech-fund.md,rolling; native account on apply.sovereign.tech (no OAuth seen); scope = verifiers + root v2 + audit; prevalence is the weak criterion
2026-09-05,CCS/GCA RM6200 AI DPS,free listing,READY-owner-password-account,docs/grants/2026-09-05/ccs-rm6200.md,open to 2029-02-23; needs DUNS + PI/PL insurance; Cyber Essentials before first order only; no prices at DPS level
2026-09-05,Circle testnet faucet + x402 testnet loop,20 testnet USDC per 2h,READY-no-account,docs/grants/2026-09-05/circle-faucet-x402-testnet.md,scripts/grants/x402-testnet-loop.sh; proves facilitator verify+settle on eip155:84532; not revenue
2026-09-05,Gitcoin Grants,n/a,NOT-FIT-no-open-round,docs/grants/2026-09-05/gitcoin.md,GG24 ended Mar 2026; GG25 never announced; eligibility passes by bytes; wallet sign-in when a round opens
2026-09-05,Optimism Governance Fund Missions,n/a,NOT-FIT-no-contracts-on-OP-chain,docs/grants/2026-09-05/optimism-atlas.md,Season 9 ended 2026-06-03; metric is DEX TVL; Grants Council dissolution proposed; Atlas = Privy email/farcaster/wallet
2026-09-06,Sovereign Tech Fund (delta),EUR 84000 proposed,READY-owner-creates-account,docs/grants/2026-09-06/sovereign-tech-fund.md,still OPEN rolling (programme page re-read 06 Sep); numbers refreshed: 166 cards; one_number 0; 0 dependents
2026-09-06,Transformative AI Fund (EA Funds),USD 30000-60000 band,READY-owner-form,docs/grants/2026-09-06/ai-safety-funders.md,always open; paperform; evaluation infrastructure framing; disclose STF/NLnet
2026-09-06,GitHub Secure Open Source Fund,USD 10000,READY-owner-form,docs/grants/2026-09-06/github-secure-open-source-fund.md,rolling; Microsoft Form; adoption criterion weak (0 dependents); 15h programme
2026-09-06,Base Builder Rewards (Talent),weekly ETH tiered,OWNER-DECIDES,docs/grants/2026-09-06/base-builder-rewards.md,Sept 2026 league unverified; Basename+Human Checkmark+Builder Score>=40 all owner; no contract on Base
2026-09-06,Hypercerts,none,PRODUCED-not-posted,docs/grants/2026-09-06/hypercerts.md,5 records in both schemas from scripts/grants/hypercert_metadata_from_cards.py; ATProto no chain no fee; owner account if posting
2026-09-06,Optimism Retro Funding,n/a,NO-DOOR,docs/grants/2026-09-06/optimism-retro-funding.md,Atlas shuts 18 Sep 2026; banner names no successor; Grants Council dissolved; Strategic Ecosystem Fund is OP Mainnet/Enterprise
2026-09-06,Deep Funding,n/a,NOT-REACHABLE,docs/grants/2026-09-06/MONETISATION-MAP.md,entry = Ethereum dependency graph; deps.dev dependents 0
2026-09-06,Drips / Karma GAP / OSO / Giveth,none,ENABLERS-owner-wallet-or-ruling,docs/grants/2026-09-06/drips-oso-karma-gap.md,Drips project exists unclaimed; OSO not indexed (PR = others' repo = ruling); GAP none; Giveth none
2026-09-06,Alpha-Omega,USD 50000-100000,WINDOW-Oct-2026-fit-1,docs/grants/2026-09-06/MONETISATION-MAP.md,applications 1-31 Oct; security criticality we cannot show
